# index, name, Curso, Grupo, Sexo, prosocial, crttotal, _pos
341,1304,2,C,Female,0.666666666666667,3,"array([ 5.66061738, -1.25919293])"
342,1314,2,D,Male,1.0,2,"array([ 5.7748929 , -1.20306758])"
343,1316,2,D,Male,1.0,3,"array([ 5.79603043, -1.15865732])"
344,1317,2,D,Female,0.333333333333333,3,"array([ 5.75725116, -1.16894353])"
345,1319,2,D,Male,1.0,1,"array([ 5.78032484, -1.16322721])"
346,1322,2,D,Female,0.333333333333333,2,"array([ 5.70623799, -1.21977672])"
347,1329,2,D,Female,1.0,2,"array([ 5.72087941, -1.21195248])"
348,1336,2,D,Female,0.666666666666667,3,"array([ 5.74042169, -1.23433378])"
349,1343,2,D,Female,1.0,3,"array([ 5.74129333, -1.2172096 ])"
350,1321,2,D,Male,0.333333333333333,2,"array([ 5.75200119, -1.20404468])"
351,1289,2,C,Female,0.666666666666667,3,"array([ 5.64140739, -1.20950012])"
352,1295,2,C,Female,1.0,3,"array([ 5.6983735 , -1.23400389])"
353,1335,2,D,Male,1.0,2,"array([ 5.76714066, -1.1214068 ])"
354,1271,2,B,Male,0.666666666666667,3,"array([ 5.75527841, -1.23593749])"
355,1273,2,B,Male,1.0,2,"array([ 5.76015734, -1.31364001])"
356,1274,2,B,Male,0.666666666666667,3,"array([ 5.76439161, -1.28533718])"
357,1275,2,B,Male,1.0,3,"array([ 5.80432233, -1.26268751])"
358,1276,2,B,Male,1.0,3,"array([ 5.78516416, -1.25716707])"
359,1279,2,B,Male,1.0,3,"array([ 5.8251854 , -1.26715041])"
360,1280,2,B,Male,0.666666666666667,3,"array([ 5.82061534, -1.29073053])"
361,1252,2,B,Male,0.666666666666667,2,"array([ 5.84272913, -1.2476195 ])"
362,1257,2,B,Male,1.0,3,"array([ 5.78016657, -1.27370736])"
363,1258,2,B,Male,0.666666666666667,2,"array([ 5.78274834, -1.23860328])"
364,1310,2,C,Male,0.666666666666667,3,"array([ 5.72345905, -1.13483017])"
365,1251,2,B,Female,1.0,0,"array([ 5.85900957, -1.21015252])"
366,1260,2,B,Male,1.0,2,"array([ 5.73826918, -1.19138042])"
367,1261,2,B,Male,0.666666666666667,3,"array([ 5.76744744, -1.24727143])"
368,1262,2,B,Male,1.0,0,"array([ 5.81113444, -1.20353036])"
369,1285,2,C,Male,0.333333333333333,2,"array([ 5.6112081 , -1.19106128])"
370,1297,2,C,Male,1.0,2,"array([ 5.65591994, -1.2190426 ])"
371,1298,2,C,Male,0.666666666666667,2,"array([ 5.63828925, -1.1617947 ])"
372,1331,2,D,Male,0.666666666666667,1,"array([ 5.75658321, -1.10163978])"
373,1291,2,C,Male,1.0,3,"array([ 5.64436072, -1.24259259])"
374,1293,2,C,Male,0.666666666666667,2,"array([ 5.73721905, -1.25138083])"
375,1296,2,C,Female,1.0,2,"array([ 5.68303835, -1.24602767])"
376,1305,2,C,Female,1.0,3,"array([ 5.6354354 , -1.29239326])"
377,1311,2,C,Female,0.333333333333333,3,"array([ 5.70078337, -1.25689376])"
378,1328,2,D,Female,1.0,3,"array([ 5.68277258, -1.30258064])"
379,1332,2,D,Female,1.0,0,"array([ 5.61407145, -1.23696504])"
380,1334,2,D,Female,1.0,2,"array([ 5.7266142 , -1.26663172])"
381,1337,2,D,Female,1.0,2,"array([ 5.70682205, -1.28798536])"
382,1264,2,B,Male,0.666666666666667,3,"array([ 5.814728  , -1.31312537])"
383,1248,2,B,Female,1.0,3,"array([ 5.73416707, -1.31812575])"
384,1253,2,B,Male,0.666666666666667,3,"array([ 5.73290302, -1.28484973])"
385,1287,2,C,Female,1.0,3,"array([ 5.61123539, -1.29690921])"
386,1286,2,C,Female,1.0,3,"array([ 5.60383002, -1.25696885])"
387,1301,2,C,Female,0.666666666666667,3,"array([ 5.67823533, -1.22254668])"
388,1340,2,D,Male,0.666666666666667,3,"array([ 5.76282773, -1.14753927])"
389,1249,2,B,Female,0.666666666666667,2,"array([ 5.79641859, -1.30534636])"
390,1265,2,B,Female,1.0,0,"array([ 5.68436117, -1.3448402 ])"
391,1268,2,B,Female,0.666666666666667,3,"array([ 5.82468238, -1.24109274])"
392,1277,2,B,Female,0.666666666666667,3,"array([ 5.74759618, -1.26991618])"
393,1406,3,C,Male,1.0,3,"array([ 6.02896397, -1.19124109])"
394,1434,3,C,Male,1.0,1,"array([ 6.02764323, -1.11204397])"
395,1306,2,C,Female,1.0,3,"array([ 5.63012997, -1.25459423])"
396,1313,2,D,Female,1.0,1,"array([ 5.81772462, -1.17146236])"
397,1401,3,B,Female,0.666666666666667,3,"array([ 5.9964487 , -1.09597237])"
398,1455,3,D,Female,0.666666666666667,3,"array([ 5.97279891, -1.16421982])"
399,1315,2,D,Male,1.0,3,"array([ 5.77740994, -1.18217132])"
400,1339,2,D,Male,0.0,2,"array([ 5.79254106, -1.19402467])"
401,1341,2,D,Male,1.0,0,"array([ 5.79230714, -1.11063559])"
402,1342,2,D,Male,1.0,3,"array([ 5.76423323, -1.21907746])"
403,1346,3,A,Male,1.0,2,"array([ 6.05152092, -1.08904896])"
404,1354,3,A,Male,0.666666666666667,2,"array([ 6.03515043, -1.0511773 ])"
405,1381,3,B,Female,0.666666666666667,3,"array([ 5.87475658, -1.04503727])"
406,1387,3,B,Male,0.666666666666667,2,"array([ 5.97673412, -1.09602923])"
407,1439,3,D,Male,0.0,3,"array([ 5.9556129, -1.1731764])"
408,1467,3,E,Female,1.0,2,"array([ 5.95331114, -1.05411261])"
409,1471,3,E,Female,0.333333333333333,3,"array([ 5.96837649, -1.06935114])"
410,1479,3,E,Female,0.333333333333333,2,"array([ 5.91485578, -1.03005185])"
411,1488,3,E,Male,0.666666666666667,3,"array([ 5.98976641, -1.0565549 ])"
412,1324,2,D,Male,1.0,2,"array([ 5.75613474, -1.18631132])"
413,1323,2,D,Male,0.666666666666667,3,"array([ 5.81672578, -1.14570737])"
414,1307,2,C,Male,1.0,0,"array([ 5.62631847, -1.22397796])"
415,1333,2,D,Male,1.0,0,"array([ 5.77651631, -1.08847922])"
416,1300,2,C,Male,0.666666666666667,2,"array([ 5.64409411, -1.26744784])"
417,1345,3,A,Female,1.0,0,"array([ 6.03138605, -1.0270434 ])"
418,1402,3,B,Female,0.666666666666667,3,"array([ 5.90906893, -1.18889048])"
419,1495,3,E,Female,1.0,3,"array([ 5.94765412, -1.07004459])"
420,1487,3,E,Male,0.666666666666667,2,"array([ 5.95089558, -1.0123948 ])"
421,1368,3,A,Female,1.0,0,"array([ 6.02497825, -1.06882626])"
422,1420,3,C,Female,1.0,2,"array([ 5.99165689, -1.14601493])"
423,1423,3,C,Female,0.666666666666667,3,"array([ 5.9808036 , -1.13253149])"
424,1459,3,D,Female,0.0,3,"array([ 5.96857789, -1.11816285])"
425,1473,3,E,Male,0.666666666666667,1,"array([ 5.99500637, -1.03412948])"
426,1474,3,E,Male,0.666666666666667,2,"array([ 5.96867619, -1.01761873])"
427,1380,3,B,Female,0.666666666666667,1,"array([ 5.98466758, -1.07663388])"
428,1392,3,B,Female,1.0,3,"array([ 5.91091747, -1.06487361])"
429,1404,3,B,Male,0.666666666666667,3,"array([ 6.03482038, -1.20794025])"
430,1416,3,C,Male,1.0,3,"array([ 6.08981434, -1.13663359])"
431,1498,3,A,Female,0.666666666666667,2,"array([ 6.07718514, -0.99722372])"
432,1351,3,A,Female,1.0,2,"array([ 6.10116669, -1.06260038])"
433,1353,3,A,Male,1.0,2,"array([ 6.14400936, -1.10895032])"
434,1357,3,A,Female,0.666666666666667,3,"array([ 6.08652064, -1.04589686])"
435,1359,3,A,Female,0.666666666666667,2,"array([ 6.09730683, -1.02753093])"
436,1360,3,A,Female,0.666666666666667,2,"array([ 6.11114213, -1.04267798])"
437,1363,3,A,Male,1.0,3,"array([ 6.06161965, -1.10646933])"
438,1364,3,A,Female,0.666666666666667,3,"array([ 6.06055174, -1.06689679])"
439,1365,3,A,Male,1.0,1,"array([ 6.13671398, -1.08971492])"
440,1366,3,A,Male,1.0,3,"array([ 6.0612281 , -1.14253708])"
441,1367,3,A,Male,1.0,1,"array([ 6.11104921, -1.11294863])"
442,1369,3,A,Female,1.0,3,"array([ 6.0694451 , -1.04810054])"
443,1370,3,A,Female,0.666666666666667,3,"array([ 6.0973521 , -1.07838668])"
444,1371,3,A,Female,0.666666666666667,2,"array([ 6.05231118, -1.04530505])"
445,1372,3,A,Female,1.0,3,"array([ 6.0436805 , -1.07376449])"
446,1374,3,A,Male,1.0,2,"array([ 6.03521869, -1.09834332])"
447,1375,3,B,Female,1.0,1,"array([ 5.85611156, -1.0980542 ])"
448,1378,3,B,Female,1.0,2,"array([ 6.00401793, -1.0758719 ])"
449,1377,3,B,Male,1.0,3,"array([ 6.11339673, -1.09642505])"
450,1347,3,A,Female,1.0,2,"array([ 6.05443416, -1.02507845])"
451,1376,3,B,Female,1.0,1,"array([ 5.86038035, -1.02878736])"
452,1348,3,A,Male,1.0,2,"array([ 6.05893577, -1.1242548 ])"
453,1349,3,A,Female,0.666666666666667,3,"array([ 6.08140195, -1.06579171])"
454,1395,3,B,Female,0.666666666666667,2,"array([ 5.94119827, -1.15401078])"
455,1397,3,B,Male,1.0,0,"array([ 6.04714793, -1.00009512])"
456,1398,3,B,Male,0.666666666666667,2,"array([ 6.02925907, -1.1339225 ])"
457,1403,3,B,Female,1.0,0,"array([ 5.85812813, -1.06724336])"
458,1382,3,B,Male,0.666666666666667,2,"array([ 6.15427117, -1.16075976])"
459,1389,3,B,Male,1.0,3,"array([ 5.97125126, -1.05443651])"
460,1390,3,B,Female,0.666666666666667,3,"array([ 5.88865509, -1.07296751])"
461,1386,3,B,Female,0.666666666666667,3,"array([ 5.90487855, -1.08792338])"
462,1384,3,B,Male,0.666666666666667,1,"array([ 6.1304352 , -1.12669317])"
463,1393,3,B,Male,0.666666666666667,1,"array([ 6.01218943, -1.10965706])"
464,1394,3,B,Male,1.0,1,"array([ 6.10583977, -1.16474333])"
